,ZCTA5CE10,NAME,CBSAFP
527,61845,"Bloomington, IL",14010
528,53530,,
529,61846,"Terre Haute, IN",45460
530,61846,"Danville, IL",19180
531,53531,"Watertown-Fort Atkinson, WI",48020
532,53531,"Madison, WI",31540
533,61847,"Champaign-Urbana, IL",16580
534,61848,"Danville, IL",19180
535,61849,"Danville, IL",19180
536,61849,"Champaign-Urbana, IL",16580
537,61850,"Danville, IL",19180
538,61851,"Champaign-Urbana, IL",16580
539,53532,"Madison, WI",31540
540,61852,"Champaign-Urbana, IL",16580
541,61853,"Champaign-Urbana, IL",16580
542,61853,"Bloomington, IL",14010
543,53533,"Madison, WI",31540
544,61854,"Champaign-Urbana, IL",16580
545,61854,"Bloomington, IL",14010
546,61855,"Champaign-Urbana, IL",16580
547,53534,"Janesville-Beloit, WI",27500
548,53534,"Watertown-Fort Atkinson, WI",48020
549,53534,"Madison, WI",31540
550,61856,"Champaign-Urbana, IL",16580
551,61857,"Danville, IL",19180
552,53536,"Janesville-Beloit, WI",27500
553,53536,"Madison, WI",31540
554,02536,"Barnstable Town, MA",12700
555,02537,"Barnstable Town, MA",12700
556,02538,"Boston-Cambridge-Newton, MA-NH",14460
557,02539,"Vineyard Haven, MA",47240
558,02540,"Barnstable Town, MA",12700
559,02542,"Barnstable Town, MA",12700
560,02543,"Vineyard Haven, MA",47240
561,02543,"Barnstable Town, MA",12700
562,02553,"Barnstable Town, MA",12700
563,02554,,
564,02556,"Barnstable Town, MA",12700
565,02557,"Vineyard Haven, MA",47240
566,02558,"Barnstable Town, MA",12700
567,02558,"Boston-Cambridge-Newton, MA-NH",14460
568,02559,"Barnstable Town, MA",12700
569,02561,"Barnstable Town, MA",12700
570,02562,"Barnstable Town, MA",12700
571,02562,"Boston-Cambridge-Newton, MA-NH",14460
572,02563,"Barnstable Town, MA",12700
573,02564,,
574,75137,"Dallas-Fort Worth-Arlington, TX",19100
575,75140,"Tyler, TX",46340
576,75141,"Dallas-Fort Worth-Arlington, TX",19100
577,75142,"Dallas-Fort Worth-Arlington, TX",19100
578,75143,"Corsicana, TX",18620
579,75143,"Athens, TX",11980
580,75143,"Dallas-Fort Worth-Arlington, TX",19100
581,75144,"Corsicana, TX",18620
582,75144,"Athens, TX",11980
583,75146,"Dallas-Fort Worth-Arlington, TX",19100
584,75147,"Athens, TX",11980
585,75147,"Dallas-Fort Worth-Arlington, TX",19100
586,75148,"Palestine, TX",37300
587,75148,"Corsicana, TX",18620
588,75148,"Athens, TX",11980
589,75149,"Dallas-Fort Worth-Arlington, TX",19100
590,75150,"Dallas-Fort Worth-Arlington, TX",19100
591,75152,"Dallas-Fort Worth-Arlington, TX",19100
592,75153,"Corsicana, TX",18620
593,75154,"Dallas-Fort Worth-Arlington, TX",19100
594,75155,"Corsicana, TX",18620
595,75155,"Dallas-Fort Worth-Arlington, TX",19100
596,75156,"Athens, TX",11980
597,75156,"Dallas-Fort Worth-Arlington, TX",19100
598,75157,"Dallas-Fort Worth-Arlington, TX",19100
599,70464,"New Orleans-Metairie, LA",35380
600,75158,"Athens, TX",11980
601,75158,"Dallas-Fort Worth-Arlington, TX",19100
602,70465,"Hammond, LA",25220
603,80476,"Denver-Aurora-Lakewood, CO",19740
604,80476,"Breckenridge, CO",14720
605,80477,"Steamboat Springs, CO",44460
606,80478,,
607,70466,"Baton Rouge, LA",12940
608,70466,"Hammond, LA",25220
609,80479,"Edwards, CO",20780
610,80479,"Steamboat Springs, CO",44460
611,75159,"Dallas-Fort Worth-Arlington, TX",19100
612,70471,"New Orleans-Metairie, LA",35380
613,80480,"Steamboat Springs, CO",44460
614,80480,"Fort Collins, CO",22660
615,80480,"Laramie, WY",29660
616,80481,"Boulder, CO",14500
617,75160,"Dallas-Fort Worth-Arlington, TX",19100
618,80482,"Denver-Aurora-Lakewood, CO",19740
619,80482,"Boulder, CO",14500
620,80483,"Glenwood Springs, CO",24060
621,80483,"Steamboat Springs, CO",44460
622,70501,"Lafayette, LA",29180
623,42044,"Paducah, KY-IL",37140
624,48506,"Flint, MI",22420
625,42045,"Paducah, KY-IL",37140
626,42047,"Paducah, KY-IL",37140
627,42048,"Murray, KY",34660
628,42048,"Clarksville, TN-KY",17300
629,42049,"Paris, TN",37540
630,42049,"Murray, KY",34660
631,42049,"Mayfield, KY",32460
632,48507,"Flint, MI",22420
633,42050,"Union City, TN-KY",46460
634,42051,"Mayfield, KY",32460
635,48509,"Flint, MI",22420
636,48519,"Flint, MI",22420
637,48529,"Flint, MI",22420
638,42053,"Paducah, KY-IL",37140
639,42054,"Murray, KY",34660
640,42054,"Mayfield, KY",32460
641,48532,"Flint, MI",22420
642,48551,"Flint, MI",22420
643,48553,"Flint, MI",22420
644,48554,"Flint, MI",22420
645,27201,"Burlington, NC",15500
646,27203,"Greensboro-High Point, NC",24660
647,27205,"Greensboro-High Point, NC",24660
648,27207,"Pinehurst-Southern Pines, NC",38240
649,27207,"Durham-Chapel Hill, NC",20500
650,27208,"Pinehurst-Southern Pines, NC",38240
651,27208,"Greensboro-High Point, NC",24660
652,27208,"Durham-Chapel Hill, NC",20500
653,27209,"Pinehurst-Southern Pines, NC",38240
654,27212,,
655,27214,"Greensboro-High Point, NC",24660
656,27215,"Greensboro-High Point, NC",24660
657,27215,"Burlington, NC",15500
658,27217,"Burlington, NC",15500
659,27229,"Rockingham, NC",40460
660,27229,"Pinehurst-Southern Pines, NC",38240
661,27231,"Durham-Chapel Hill, NC",20500
662,27233,"Greensboro-High Point, NC",24660
663,27235,"Greensboro-High Point, NC",24660
664,27235,"Winston-Salem, NC",49180
665,27239,"Charlotte-Concord-Gastonia, NC-SC",16740
666,27239,"Albemarle, NC",10620
667,27239,"Greensboro-High Point, NC",24660
